Name,Era,Description,Release Date,Web Link,Type
Nicola Meighan Interview with CHVRCHES,The Bones of What You Believe,Also appeared in the Herald Newpaper,27.12.2013,https://nicolameighan.wordpress.com/2013/12/27/interview-chvrches/,Interview
Hostess Club Weekender: Preview,The Bones of What You Believe,Louder than War,13.01.2014,https://louderthanwar.com/hostess-club-weekender-preview/#google_vignette,Review
"CHVRCHES – Metro Theatre, Sydney 04/02/14",The Bones of What You Believe,Musicfeeds,05.02.2014,https://musicfeeds.com.au/gig/chvrches-the-metro-sydney-040214/,Review
CHVRCHES at the Metro Theatre 4/2/14 - Live Review,The Bones of What You Believe,All Ages Concert Sydney,11.02.2014,https://genevavalek.wixsite.com/all-ages-concerts/post/2014/02/11/chvrches-at-the-metro-theatre-4214-live-review,Review
CHVRCHES @ The Scala – Live Review,The Bones of What You Believe,musical cpr,17.02.2014,"https://musicalcpr.wordpress.com/2014/02/18/chvrches-the-scala-live-review/#:~:text=Although%20Mayberry%27s%20mic%20regrettably%20cuts,A%20very%20special%20night%20indeed.",Review
Music: Hostess Club Weekender No. 7 Concert in Tokyo,The Bones of What You Believe,Blog,19.02.2014,https://washingrice.wordpress.com/2014/02/19/hostess-club-weekender-no-7-concert-in-tokyo/,Review
"Review: Chvrches, Cambridge Junction, Wednesday, March 12",The Bones of What You Believe,Ribbon and Rope,14.03.2014,https://ribbonandrope.wordpress.com/2014/03/14/review-chvrches-cambridge-junction-wednesday-march-12/,Review
"CHVRCHES: Junction, Cambridge – photo review",The Bones of What You Believe,Louder than War,16.03.2014,https://louderthanwar.com/chvrches-junction-cambridge-live-review/#google_vignette,Review
"CHVRCHES - Paris, Trianon - 17 mars 2014",The Bones of What You Believe,Soundofviolence,18.03.2014,https://www.soundofviolence.net/articles/live/1578/chvrches_soak_paris_trianon.html,Review
Interview: Chvrches,The Bones of What You Believe,Independent,10.04.2014,https://www.independent.com/2014/04/10/interview-chvrches/,Interview
Coachella 2014: Chvrches earn a worshipful crowd,The Bones of What You Believe,LA Times,13.04.2014,https://www.latimes.com/entertainment/music/posts/la-et-ms-coachella-2014-chvrches-earn-a-worshipful-crowd-20140412-story.html,Review
"Radio 104.5 Block Party with Chvrches, Cherub, and Phantogram at the Piazza",The Bones of What You Believe,Independent Philly,04.05.2014,https://www.independentphilly.com/radio-104-5-block-party-chvrches-cherub-phantogram-piazza/,Review
Outside Lands: Does Chvrches’ Iain Cook want to remake the soundtrack to ‘Star Wars?’,The Bones of What You Believe,Riff Magazine,01.08.2014,https://riffmagazine.com/interview/chvrches-iain-cook-want-remake-soundtrack-star-wars/?sfw=pass1769280289,Interview
Scottish Musicians’ Cookbook,The Bones of What You Believe,Recipe,11.01.2015,https://web.archive.org/web/20150802142259/http://thepopcop.co.uk/2012/01/scottish-musicians-cookbook/,Article
"Chvrches Announce Tour in Support of Upcoming Album, ‘Every Open Eye’",Every Open Eye,Diffuser,20.07.2015,"https://diffuser.fm/chvrches-every-open-eye-2015-tour/#:~:text=CA%20%2D%20Treasure%20Island-,Oct.,Categories:%20Music%2C%20News%2C%20Tours",Article
Sympathetic Vibrations | Album Review,Every Open Eye,Flatland,14.10.2015,https://flatlandkc.org/arts-culture/sympathetic-vibrations-album-review/,Review
"Chvrches @ Treasure Island Music Festival, 10.18.15",Every Open Eye,Three match breeze,28.10.2015,https://threematchbreeze.com/2015/10/28/chvrches-treasure-island-music-festival-10-18-15/,Review
Nicola Meighan Interview with CHVRCHES,Every Open Eye,Also appeared in The Herald Arts Magazine,13.12.2017,https://nicolameighan.wordpress.com/2017/12/13/interview-chvrches-2/,Interview
CHRONIQUE ALBUM,Love Is Dead,Soundofviolence,11.05.2018,https://www.soundofviolence.net/articles/album/4386/chvrches_love_is_dead.html,Review
WATCH CHVRCHES Perform an Exclusive Version of “Wonderland” in the MOOG Sound Lab,Love Is Dead,We Own The Nite NYC,11.04.2019,https://weownthenitenyc.com/watch-chvrches-perform-an-exclusive-version-of-wonderland-in-the-moog-sound-lab/,Interview
"CHVRCHES & SHURA – Köln, E-Werk (04.04.2016)",Every Open Eye,Monkeypress,12.04.2016,https://monkeypress.de/2016/04/live/konzertberichte/chvrches-shura-koeln-e-werk-04-04-2016/,Review
Chvrches: Brachiale Indietronic-Beats auf höchstem Level,Every Open Eye,BZ,07.04.2016,https://www.bz-berlin.de/unterhaltung/chvrches-brachiale-indietronic-beats-auf-hoechstem-level,Review
Death Cab for Cutie + CHVRCHES Announce Joint Tour,Every Open Eye,Diffuser,01.03.2016,https://diffuser.fm/death-cab-for-cutie-chvrches-tour/,Article
Chvrches Next U.S. Leg of 2016 Tour Starts in California in April,Every Open Eye,Rocksubculture,31.03.2016,https://www.rocksubculture.com/2016/03/31/chvrches-next-u-s-leg-of-2016-tour-starts-in-california-in-april/,Article
Chvrches Avoids the Rain to Hit White Oak Music Hall’s Sweet Spot,Every Open Eye,Houston Press,02.05.2016,https://www.houstonpress.com/music/chvrches-avoids-the-rain-to-hit-white-oak-music-halls-sweet-spot-8369655/,Review
"Don’t Miss: CHVRCHES @ Rams Head Live! (Baltimore), 6/12/16",Every Open Eye,Parklife DC ,03.06.2016,https://parklifedc.com/2016/06/03/dont-miss-chvrches-rams-head-live-baltimore-61216/#google_vignette,Article
Music Park: CHVRCHES @ Rams Head Live! — 6/12/16,Every Open Eye,Parklife DC ,15.06.2016,"https://parklifedc.com/2016/06/15/music-park-chvrches-rams-head-live-61216/#:~:text=Lauren%20Mayberry%20of%20Chvrches%20sings,we%20are%20by%20their%20side.",Review
CHVRCHES put on yet another terrific show at Riverside Theater,Love Is Dead,Milwaukee Record,05.10.2018,https://milwaukeerecord.com/music/chvrches-another-terrific-show-riverside-theater/,Review
CHVRCHES Brings Synth-Pop to the Riverside Theater This Weekend,Every Open Eye,Milwaukee Mag,19.09.2016,https://www.milwaukeemag.com/chvrches-riverside-theater/,Review
Track Of The Day: CHVRCHES Feat Hayley Williams – Bury It,Every Open Eye,XS Noise,10.06.2016,https://www.xsnoize.com/track-of-the-day-chvrches-feat-hayley-williams-bury-it/,Interview
The love for CHVRCHES is very much alive at the synth-pop band's Riverside show,Love Is Dead,OnMilwaukee,05.10.2018,"https://onmilwaukee.com/articles/chvrches-review-riverside#:~:text=Thankfully%20things%20charged%20back%20up,big%20enough%20to%20hold%20them.",Review
