Date,Daytime,Era,Event,Tour,Description,Top,Country,City,Venue,Type,Supported By,Supporting,Setlist.fm,Discussion
21.05.2011,,Blue Sky Archives EP,,,,,UK,Glasgow,Captain’s Rest
21.06.2012,,The Bones of What You Believe,,Shark Week,VIC GALLOWAY PRESENTS…,Top,UK,Edinburgh,Electric Circus,Opener,,"Discopolis, Dead Boy Robotics, Die Hard",https://www.setlist.fm/setlist/chvrches/2012/electric-circus-edinburgh-scotland-73885edd.html,"Acording to https://web.archive.org/web/20120602082745/http://www.theelectriccircus.biz/live-music/ the show is titled ""VIC GALLOWAY PRESENTS…DISCOPOLIS,DEAD BOY ROBOTICS,DIE HARD & SHARK WEEK
Thursday 21st JUN (£4.00)
VIC GALLOWAY PRESENTS…DISCOPOLIS,DEAD BOY ROBOTICS,DIE HARD & SHARK WEEK
MORE INFO
14.03.2013,Late,The Bones of What You Believe,,CHVRCHES NORTH AMERICAN TOUR - announced 17.1.2013,"SXSW, Baeble Music",,USA,"Austin, TX",Hype Hotel,Headline Show,,,https://www.setlist.fm/setlist/chvrches/2013/hype-hotel-austin-tx-2bfbc402.html
18.03.2013,,The Bones of What You Believe,,CHVRCHES NORTH AMERICAN TOUR - announced 17.1.2013,Two shows in one day,,USA,"New York, NY",Mercury Lounge,Headline Show,Dan Croll
18.03.2013,,The Bones of What You Believe,,CHVRCHES NORTH AMERICAN TOUR - announced 17.1.2013,Two shows in one day,,USA,"New York, NY",Mercury Lounge,Headline Show,Dan Croll
20.03.2013,,The Bones of What You Believe,,CHVRCHES NORTH AMERICAN TOUR - announced 17.1.2013,,,Canada,"Toronto, ON ",Virgin Mobile Mod Club,Headline Show,Diana,,https://www.setlist.fm/setlist/chvrches/2013/virgin-mobile-mod-club-toronto-on-canada-73d8b6fd.html
19.04.2013,,The Bones of What You Believe,,Label-Abend im Berghain,,,Germany,Berlin,Berghain Panorama Bar,Co-Headline,Arthur Beatrice
24.04.2013,,The Bones of What You Believe,,UK HEADLINE SHOWS - Announced 25.2.2013,,,UK,Aberdeen,The Garage,Co-Headline,Young Fathers,,https://www.setlist.fm/setlist/chvrches/2013/the-garage-aberdeen-scotland-1bd97d8c.html
25.04.2013,,The Bones of What You Believe,,UK TDCC support,,,UK,Edinburgh,Corn Exchange ,Opener,Thumpers,"Two Door Cinema Club, Everything Everything"
26.04.2013,,The Bones of What You Believe,,UK TDCC support,,,UK,Wolverhampton,Civic Hall,Opener,Thumpers,"Two Door Cinema Club, Everything Everything",https://www.setlist.fm/setlist/chvrches/2013/civic-hall-wolverhampton-england-4bd827f6.html
27.04.2013,,The Bones of What You Believe,,UK TDCC support,,,UK,London,Alexandra Palace,Opener,Everything Everything,Two Door Cinema Club,https://www.setlist.fm/setlist/chvrches/2013/alexandra-palace-london-england-2bb9d01a.html
29.04.2013,,The Bones of What You Believe,,UK HEADLINE SHOWS - Announced 25.2.2013,,,UK,London,Village Underground,Co-Headline,Young Fathers,,https://www.setlist.fm/setlist/chvrches/2013/village-underground-london-england-3d815b7.html
30.04.2013,,The Bones of What You Believe,,UK HEADLINE SHOWS - Announced 25.2.2013,,,UK,Nottingham,Rescue Rooms,Co-Headline,Young Fathers,,https://www.setlist.fm/setlist/chvrches/2013/rescue-rooms-nottingham-england-63d81633.html
01.05.2013,,The Bones of What You Believe,,UK HEADLINE SHOWS - Announced 25.2.2013,,,UK,Manchester,Sound Control,Headline Show,,,https://www.setlist.fm/setlist/chvrches/2013/sound-control-manchester-england-73d81241.html
10.05.2013,,The Bones of What You Believe,,Les Nuits Botanique,,,Belgium,Brussels,L'Orangerie at Botanique,Festival Set,"Pale Grey, La Femme, and others",,https://www.setlist.fm/setlist/chvrches/2013/le-botanique-lorangerie-sint-joost-ten-noode-saint-josse-ten-noode-belgium-2bd844b6.html
11.05.2013,,The Bones of What You Believe,,Introducing.de Tour - Accounced 18.3.2013,,,Germany,Cologne,Gebäude 9,Co-Headline,"Claire, Young Galaxy, Mighty Oaks",,https://www.setlist.fm/setlist/chvrches/2013/gebaude-9-cologne-germany-4bd92b62.html
12.05.2013,,The Bones of What You Believe,,Introducing.de Tour - Accounced 18.3.2013,,,Germany,Munich,Ampere,Co-Headline,"Claire, Young Galaxy, Mighty Oaks"
14.05.2013,,The Bones of What You Believe,,Introducing.de Tour - Accounced 18.3.2013,,,Germany,Hamburg,Uebel & Gefährlich
15.05.2013,,The Bones of What You Believe,,Introducing.de Tour - Accounced 18.3.2013,,,Germany,Berlin,Lido,Co-Headline,"Claire, Young Galaxy, Mighty Oaks"
16.05.2013,,The Bones of What You Believe,,Introducing.de Tour - Accounced 18.3.2013,,,Germany,Frankfurt,Zoom,,"Claire, Young Galaxy, Mighty Oaks"
18.05.2013,,The Bones of What You Believe,,Great Escape 2013,Digital,,UK,Brighton,Great Escape 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/digital-brighton-england-4bc58faa.html
25.05.2013,,The Bones of What You Believe,,Field Day 2013,Victoria Park,,UK,London,Field Day 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/victoria-park-london-england-33d9a0fd.html
27.05.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,The Gorge Amphitheatre,,USA,"George, WA",Sasquatch! Music Festival 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/the-gorge-amphitheatre-george-wa-33c5e0c1.html
28.05.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Portland, OG",Wonder Ballroom,Headline Show,,,https://www.setlist.fm/setlist/chvrches/2013/wonder-ballroom-portland-or-7bd99e58.html
29.05.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"San Francisco, CA",Mezzanine,Headline Show,Still Corners
31.05.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Los Angeles, CA",The Fonda Theatre,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/the-fonda-theatre-los-angeles-ca-73d98a09.html
01.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Los Angeles, CA",Troubadour,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/troubadour-west-hollywood-ca-bd98196.html
02.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Solana Beach, CA",Belly Up Tavern,Headline Show,Still Corners
05.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Austin, TX",Mohawk-Indoor,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/mohawk-austin-tx-73d9fad5.html
06.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Dallas, TX",Granada Theater,Headline Show
07.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Lawrence, KS",Granada Theater,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/granada-theater-lawrence-ks-6b96867a.html
08.06.2013,Late,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Minneapolis, MN",Fine Line Music Cafe,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/fine-line-music-cafe-minneapolis-mn-3d9e9fb.html
08.06.2013,Early,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,Interview,,USA,"Minneapolis, MN",The Current Studios,Radio / TV
10.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Chicago, IL ",Lincoln Hall,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/lincoln-hall-chicago-il-73d9dacd.html
11.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Chicago, IL ",Lincoln Hall,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/lincoln-hall-chicago-il-63d9dac3.html
12.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,Canada,Toronto,The Hoxton,Headline Show,,,https://www.setlist.fm/setlist/chvrches/2013/the-hoxton-toronto-on-canada-53d9db45.html
15.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,Top,Canada,Montreal,Le National,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/le-national-montreal-qc-canada-13d9c92d.html
16.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Boston, MA",The Paradise Rock Club,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/paradise-rock-club-boston-ma-4bd9c712.html
17.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"New York, NY",Webster Hall,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/webster-hall-new-york-ny-4bd9c35a.html
18.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,signed 1st record deal on that day,,USA,"New York, NY",Music Hall of Williamsburg,Headline Show,Still Corners
19.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"New York, NY",Late Night with Jimmy Fallon,Radio / TV,,,https://www.setlist.fm/setlist/chvrches/2013/late-night-with-jimmy-fallon-new-york-ny-3b896c8c.html
21.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,Washington DC,Black Cat,Headline Show
22.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,The Woodlands of Dover International Speedway,,USA,"Dover, DE",Firefly Festival 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/the-woodlands-of-dover-international-speedway-dover-de-63d926f7.html
23.06.2013,,The Bones of What You Believe,,North American Tour - May/June 2013 - Announced 25.3.2013,,,USA,"Philadelphia, PA",Union Transfer,Headline Show,Still Corners,,https://www.setlist.fm/setlist/chvrches/2013/union-transfer-philadelphia-pa-33d92409.html
04.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Hovefestivalen,,Norway,Arendal,Hovefestivalen 2013,Festival Set
06.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Gashouder Westergasfabriek,,Netherlands,Amsterdam,Pitch Festival 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/gashouder-westergasfabriek-amsterdam-netherlands-7bd966b8.html
07.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Presquile de Malsaucy,,France,Belfort,Eurockéennes de Belfort 2013,Festival Set
08.07.2013,,The Bones of What You Believe,,BBC Radio 1's Live Lounge 2013,,,UK,London,BBC Radio 1's Live Lounge,Radio / TV,,,https://www.setlist.fm/setlist/chvrches/2013/bbc-radio-1s-live-lounge-london-england-2bc2a842.html
14.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Balado,,UK,Kinross,T in The Park 2013,Festival Set
16.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Arenes de Nimes,,France,Nimes,Festival de Nimes 2013 / Delta Machine Tour,Opener,,Depeche Mode,https://www.setlist.fm/setlist/chvrches/2013/arenes-de-nimes-nimes-france-33c6ac31.html
18.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Stadio Giuseppe Meazza,,Italy,Milan,Delta Machine Tour,Opener,,Depeche Mode,https://www.setlist.fm/setlist/chvrches/2013/stadio-giuseppe-meazza-milan-italy-23c6a4cb.html
19.07.2013,,The Bones of What You Believe,,Depeche Mode Delta Machine Tour and Festivals - Summer 2013,Henham Park,,UK,Henham,Latitude Festival 2013,Festival Set,,,https://www.setlist.fm/setlist/chvrches/2013/henham-park-henham-england-23c6982f.html
