Name,Description,Release Date,Type,Cover Original,Track Number,Appears On,Top Songs,Spotify,Apple Music,YouTube,Genius,SongBPM
Do I Wanna Know? (triple j Like a Version),,,"Core Track, Cover",Arctic Monkeys,,Do I Wanna Know? (triple j Like a Version),,,,https://www.youtube.com/watch?v=CjwwmFrsX_E
Gun (Alucard session),,,"Core Track, Live Recording",,5,Under the Tide
We Sink,,,Core Track,,1,We Sink
It's Not Right But It's Okay,,,"Core Track, Cover",Whitney Houston,2,We Sink
I Would Die 4 V (Prince cover),,,Cover,Prince,,,,,,https://www.youtube.com/watch?v=Xr_U78CjFjQ&list=RDXr_U78CjFjQ&start_radio=1
The Mother We Share (Vanic remix),,,Remix
The Mother We Share (Modern Dealer remix),,,Remix
Tether (Eric Prydz Vs. CHVRCHES),,,"Core Track, Remix",,1,Tether (Eric Prydz Vs. CHVRCHES)
Get Away (Jake LaVine remix),,,Remix
Get Out,,,Core Track,,A1,Project Unfollow
Never Say Die,,,Core Track,,A2,Project Unfollow
Graffiti (Hansa Session),,,Core Track,,1,Hansa Session
Miracle (Hansa Session),,,Core Track,,2,Hansa Session
Get Out (Hansa Session),,,Core Track,,3,Hansa Session
Heaven / Hell (Hansa Session),,,Core Track,,4,Hansa Session
Really Gone (Hansa Session),,,Core Track,,5,Hansa Session
Science/Visions,,,Core Track,,1,In Search of Darkness
Tether,,,Core Track,,2,In Search of Darkness
Broken Bones,,,Core Track,,3,In Search of Darkness
Bury It,,,Core Track,,4,In Search of Darkness
Never Say Die,,,Core Track,,5,In Search of Darkness
Death Stranding,,,Core Track,,6,In Search of Darkness
California,,,Core Track,,1,Apple Music Home Session: CHVRCHES
I'm With You,,,"Core Track, Cover",Avril Lavigne,2,Apple Music Home Session: CHVRCHES,Top
Leave a Trace (Four Tet remix),,,"Core Track, Remix",,A1,Every Open Eye: The Remixes
Empty Threat (Whyt Noyz remix),,,"Core Track, Remix",,A2,Every Open Eye: The Remixes
Clearest Blue (Gryffin remix),,,"Core Track, Remix",,A3,Every Open Eye: The Remixes
Leave a Trace (Goldroom remix),,,"Core Track, Remix",,B1,Every Open Eye: The Remixes
Empty Threat (Big Wild remix),,,"Core Track, Remix",,B2,Every Open Eye: The Remixes
Clearest Blue (KDA remix),,,"Core Track, Remix",,B3,Every Open Eye: The Remixes
Never Ending Circles,,,Core Track,,1,Every Open Eye,Top
Leave a Trace,,,Core Track,,2,Every Open Eye,Top
Keep You on My Side,,,Core Track,,3,Every Open Eye,Top
Make Them Gold,,,Core Track,,4,Every Open Eye
Clearest Blue,,,Core Track,,5,Every Open Eye,Top
High Enough to Carry You Over,,,Core Track,,6,Every Open Eye
Empty Threat,,,Core Track,,7,Every Open Eye
Down Side of Me,,,Core Track,,8,Every Open Eye
Playing Dead,,,Core Track,,9,Every Open Eye
Bury It,,,Core Track,,10,Every Open Eye
Afterglow,,,Core Track,,11,Every Open Eye
Up in Arms,,,Bonus Track,,,Every Open Eye
Get Away,,,Bonus Track,,,Every Open Eye
Follow You,,,Bonus Track,,,Every Open Eye
Bow Down,,,Bonus Track,,,Every Open Eye
Leave a Trace (Four Tet remix),,,"Bonus Track, Remix",,,Every Open Eye
Leave a Trace (live at Pitchfork Music Festival),,,"Bonus Track, Live Recording",,,Every Open Eye
Warning Call (Theme From Mirror’s Edge Catalyst),,,"Bonus Track, Soundtrack",,,Every Open Eye,Top
Bury It (feat. Hayley Williams),,,Bonus Track,,,Every Open Eye
Empty Threat (Big Wild remix),,,"Bonus Track, Remix",,,Every Open Eye
Clearest Blue (Gryffin remix),,,"Bonus Track, Remix",,,Every Open Eye
Graffiti,,,Core Track,,,Love Is Dead
Get Out,,,Core Track,,,Love Is Dead,Top
Deliverance,,,Core Track,,,Love Is Dead
My Enemy,,,Core Track,,,Love Is Dead,Top
Forever,,,Core Track,,,Love Is Dead,Top
Never Say Die,,,Core Track,,,Love Is Dead,Top
Miracle,,,Core Track,,,Love Is Dead,Top
Graves,,,Core Track,,,Love Is Dead
Heaven/Hell,,,Core Track,,,Love Is Dead
God’s Plan,,,Core Track,,,Love Is Dead
Really Gone,,,Core Track,,,Love Is Dead
ii,,,Core Track,,,Love Is Dead
Wonderland,,,Core Track,,,Love Is Dead
Get Out (One Bit remix),,,"Bonus Track, Remix",,,Love Is Dead
Get Out (Roosevelt remix),,,"Bonus Track, Remix",,,Love Is Dead
Miracle (Manila Killa remix),,,"Bonus Track, Remix",,,Love Is Dead
Out of My Head,,,Bonus Track,,,Love Is Dead
