Name,Description,Release Date,Type,Cover Original,Track Number,Appears On,Top Songs,Spotify,Apple Music,YouTube,Genius,SongBPM
Do I Wanna Know? (triple j Like a Version),,,"Core Track, Cover",Arctic Monkeys,,Do I Wanna Know? (triple j Like a Version),,,,https://www.youtube.com/watch?v=CjwwmFrsX_E
Gun,,,Core Track,,3,The Bones Of What You Believe (Deluxe Edition)
Tether,,,Core Track,,4,The Bones Of What You Believe (Deluxe Edition)
Lies,,,Core Track,,5,The Bones Of What You Believe (Deluxe Edition)
Under the Tide,,,Core Track,,6,The Bones Of What You Believe (Deluxe Edition)
Recover,,,Core Track,,7,The Bones Of What You Believe (Deluxe Edition)
Night Sky,,,Core Track,,8,The Bones Of What You Believe (Deluxe Edition)
Science/Visions,,,Core Track,,9,The Bones Of What You Believe (Deluxe Edition)
Lungs,,,Core Track,,10,The Bones Of What You Believe (Deluxe Edition)
By the Throat,,,Core Track,,11,The Bones Of What You Believe (Deluxe Edition)
You Caught the Light,,,Core Track,,12,The Bones Of What You Believe (Deluxe Edition)
Strong Hand,,,Core Track,,13,The Bones Of What You Believe (Deluxe Edition)
Broken Bones,,,Core Track,,14,The Bones Of What You Believe (Deluxe Edition)
ZVVL,,,Core Track,,15,The Bones Of What You Believe (Deluxe Edition)
Now Is Not the Time,,,Core Track,,16,The Bones Of What You Believe (Deluxe Edition)
Recover (Alucard Session),,,Core Track,,17,The Bones Of What You Believe (Deluxe Edition)
The Mother We Share (Alucard Session),,,Core Track,,18,The Bones Of What You Believe (Deluxe Edition)
Gun (Alucard Session),,,Core Track,,19,The Bones Of What You Believe (Deluxe Edition)
Tightrope (Alucard session),,,"Core Track, Cover",Janelle Monáe,20,The Bones Of What You Believe (Deluxe Edition)
Recover (Cid Rim Remix),,,"Core Track, Remix",,21,The Bones Of What You Believe (Deluxe Edition)
It's Not Right But It's Okay,,,Core Track,,22,The Bones Of What You Believe (Deluxe Edition)
Recover (Claire Remix),,,"Core Track, Remix",,23,The Bones Of What You Believe (Deluxe Edition)
Lies (Tourist Remix),,,"Core Track, Remix",,24,The Bones Of What You Believe (Deluxe Edition)
Recover (Kingdom Remix),,,"Core Track, Remix",,25,The Bones Of What You Believe (Deluxe Edition)
Tether (Junior Sanchez Remix),,,"Core Track, Remix",,26,The Bones Of What You Believe (Deluxe Edition)
Gun (KDA Remix),,,"Core Track, Remix",,27,The Bones Of What You Believe (Deluxe Edition)
The Mother We Share (Blood Diamonds Remix),,,"Core Track, Remix",,28,The Bones Of What You Believe (Deluxe Edition)
Recover (KDA Remix),,,"Core Track, Remix",,29,The Bones Of What You Believe (Deluxe Edition)
